reference,url,error
6013085,"https://static.galerieslafayette.com/cdn-cgi/image/width=224,height=244,quality=85,format=auto,fit=pad,background=white/media/images/hp_mod_100/hp_mod_100501174/hp_modvar_135882245/202603021117/t_shirt_ample_logo_en_coton_melange-1.jpg","fetch failed"
73455,"https://www.bogsfootwear.com/shop/images/73455-279.jpg","HTTP 404"
SAC,"https://www.2ndskin.ca/wp-content/uploads/2021/12/Q-Tees_QTBG_Natural_Front_High.jpg","HTTP 403"
73455,"https://www.bogsfootwear.com/shop/rotate/73455-279/10.jpg","HTTP 404"
SAC,"https://www.2ndskin.ca/wp-content/uploads/2021/12/b110_flat_black.jpg","HTTP 403"
SXBB32,"https://www.running-conseil.com/media/catalog/product/cache/b9b6670ba00b167ff45d455e80f50017/s/x/sxbb32-mcn-1.jpg","HTTP 403"
73455,"https://www.bogsfootwear.com/shop/thumbnails/73455-653_t.jpg","HTTP 404"
6009379,"https://static.galerieslafayette.com/cdn-cgi/image/width=224,height=244,quality=85,format=auto,fit=pad,background=white/media/images/hp_mod_100/hp_mod_100501174/hp_modvar_135882245/202603021117/t_shirt_ample_logo_en_coton_melange-1.jpg","fetch failed"
6009205,"https://www.big5sportinggoods.com/catalogimage/img/product/rwd/large/4516_10465_1518_015_large_07.jpg","HTTP 403"
6007537,"https://www.shoesensation.com/media/catalog/product/underarmour/underarmour-6007537-001-uabarmrslidelite-black01.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=700&width=700","HTTP 405"
6000264,"https://secure-cdn.logosoftwear.com/images_products2/53355/53355.thumb.jpg","HTTP 403"
6000264,"https://static.platform.michaels.com/2c-prd/en_US/15605956068560.jpg","HTTP 403"
6005104,"https://www.bsnsports.com/_next/image/?url=https%3A%2F%2Fassets.bsnsports.com%2Fproducts%2FImages%2F6005504_410_x.jpg&w=3840&q=75","HTTP 429"
6003745,"https://www.big5sportinggoods.com/catalogimage/img/product/rwd/zoom/4371_10465_8701_015_zoom_02.jpg","HTTP 403"
53744704,"https://www.nyfifth.com/category/20230711/puma-537447-mens-mattr-feeder-golf-polo_LAKE-BLUE.jpg","HTTP 403"
53452701,"https://www.nyfifth.com/category/20230711/puma-534527-mens-cloudspun-progress-hooded-golf-sweatshirt_PUMA-BLACK-HTHR.jpg","HTTP 403"
53298602,"https://images.bike24.com/i/mb/03/d6/b8/puma-run-cloudspun-knit-1-2-zip-mens-longsleeve-shirt-puma-black-1-1331885.jpg","HTTP 403"
53744704,"https://www.nyfifth.com/category/20230711/puma-537447-mens-mattr-feeder-golf-polo_HIGH-RISE.jpg","HTTP 403"
53452701,"https://www.nyfifth.com/category/20230711/puma-534527-mens-cloudspun-progress-hooded-golf-sweatshirt_NAVY-BLAZER-HTHR.jpg","HTTP 403"
1389864,"https://cdn11.bigcommerce.com/s-dvvakqujk6/products/35859/images/6981230/1389864-001_UNDE_BLCST_M_EA1__24142.1783108076.386.513.png?c=2","HTTP 404"
3026179,"https://www.shoesensation.com/media/catalog/product/underarmour/underarmour-3026179-494-uawchargedassert10-blue01.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=700&width=700","HTTP 405"
3028256,"https://www.e-tennis.com/media/catalog/product/cache/9f6a0f2a2b1968473f9efdabe1103d96/u/n/under_armour_rogue_5_men_s_running_shoes_black_3_.webp","HTTP 403"
3027000,"https://www.shoesensation.com/media/catalog/product/underarmour/underarmour-3027000-004-uachargedsurge4-black01.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=700&width=700","HTTP 405"
3026179,"https://www.shoesensation.com/media/catalog/product/underarmour/underarmour-3026179-600-uawchargedassert10-pink01.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=700&width=700","HTTP 405"
25UUSHJ295,"https://images.dickssportinggoods.com/is/image/dkscdn/25UNDWFITNHTGRMSHTZKE_Bittersweet_Pink_Posh_Pink_is","HTTP 451"
1390070,"https://www.e-tennis.gr/media/catalog/product/cache/9f6a0f2a2b1968473f9efdabe1103d96/u/a/ua_heatgear_shorty_2_.webp","HTTP 403"
1389718,"https://www.e-tennis.com/media/catalog/product/cache/9f6a0f2a2b1968473f9efdabe1103d96/u/n/under_armour_womens_tank_top1.webp","HTTP 403"
1384231,"https://static.platform.michaels.com/2c-prd/en_US/15605956068560.jpg","HTTP 403"
1383629,"https://www.e-tennis.com/media/catalog/product/cache/9f6a0f2a2b1968473f9efdabe1103d96/v/5/v5-1383629-001_fc-1.webp","HTTP 403"
1383559,"https://sansirosports.com/wp-content/uploads/2024/12/1383559-001_3.png","HTTP 403"
1383629,"https://www.e-tennis.com/media/catalog/product/cache/9f6a0f2a2b1968473f9efdabe1103d96/v/5/v5-1383629-001_bc.webp","HTTP 403"
1383559,"https://sansirosports.com/wp-content/uploads/2024/12/1383559-001_2.png","HTTP 403"
1383629,"https://www.e-tennis.com/media/catalog/product/cache/9f6a0f2a2b1968473f9efdabe1103d96/v/5/v5-1383629-001_sidedet.webp","HTTP 403"
1383559,"https://sansirosports.com/wp-content/uploads/2024/12/1383559-001_5.png","HTTP 403"
1379519,"https://www.underarmour.ae/dw/image/v2/BHCQ_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dwc4f9b541/ua/U/1/3/U_1379519_001_2199.jpg?sw=400&sh=500&sm=fit","HTTP 403"
1379508,"https://cdn.ssactivewear.com/cdn-cgi/image/quality=80,w=324,f=auto/Images/Style/14804_fs.jpg","fetch failed"
1379497,"https://www.e-tennis.com/media/catalog/product/cache/9f6a0f2a2b1968473f9efdabe1103d96/1/3/1379497-012_fc.webp","HTTP 403"
1379519,"https://www.underarmour.ae/dw/image/v2/BHCQ_PRD/on/demandware.static/-/Sites-akeneo-master-catalog/default/dw5e865f92/ua/U/1/3/U_1379519_001_2208.jpg?sw=700&sh=700&sm=fit","HTTP 403"
1379497,"https://sansirosports.com/wp-content/uploads/2023/09/1379497-001.png","HTTP 403"
1379497,"https://sansirosports.com/wp-content/uploads/2023/09/1379497-001_4-800x800.jpg","HTTP 403"
1376955,"https://cdn11.bigcommerce.com/s-dvvakqujk6/images/stencil/1280x1280/products/35824/6991568/1376955-005_UNDE_BKWH_S_EA1__30578.1784416112.png?c=2","HTTP 404"
1376955,"https://cdn11.bigcommerce.com/s-dvvakqujk6/images/stencil/1280x1280/products/35824/6991574/1376955-005_UNDE_BKWH_S_EA7__28715.1784416117.png?c=2","HTTP 404"
1373718,"https://www.e-tennis.com/media/catalog/product/cache/2be71259c8771047824054c4bbd05762/s/7/s7.v5-1373718-014_fc.jpg","HTTP 403"
1376955,"https://cdn11.bigcommerce.com/s-dvvakqujk6/images/stencil/1280x1280/products/35824/6991569/1376955-005_UNDE_BKWH_S_EA2__77201.1784416113.png?c=2","HTTP 404"
1369790,"https://sansirosports.com/wp-content/uploads/2024/03/1369790-102_3.jpg","HTTP 403"
1365336,"https://www.e-tennis.com/media/catalog/product/cache/9f6a0f2a2b1968473f9efdabe1103d96/1/3/1365336-001.webp","HTTP 403"
1361596,"https://cdn11.bigcommerce.com/s-dvvakqujk6/products/35740/images/6995058/1361596-001_UNDE_BKWH_BlackWhite_S_EA1__61520.1784834805.386.513.jpg?c=2","HTTP 404"
1361673,"https://sansirosports.com/wp-content/uploads/2025/03/1361673-452.png","HTTP 403"
1365336,"https://www.e-tennis.com/media/catalog/product/cache/9f6a0f2a2b1968473f9efdabe1103d96/1/3/1365336-001-under-armour-hirise-no-slip-women-s-tight-pants-black-white-e.webp","HTTP 403"
