reference,url,error
SAC,"https://www.2ndskin.ca/wp-content/uploads/2021/12/Q-Tees_QTBG_Natural_Front_High.jpg","curl: empty or too small"
SAC,"https://www.2ndskin.ca/wp-content/uploads/2021/12/b110_flat_black.jpg","curl: empty or too small"
1389864,"https://cdn11.bigcommerce.com/s-dvvakqujk6/products/35859/images/6981230/1389864-001_UNDE_BLCST_M_EA1__24142.1783108076.386.513.png?c=2","curl: empty or too small"
1376955,"https://cdn11.bigcommerce.com/s-dvvakqujk6/images/stencil/1280x1280/products/35824/6991568/1376955-005_UNDE_BKWH_S_EA1__30578.1784416112.png?c=2","curl: empty or too small"
1376955,"https://cdn11.bigcommerce.com/s-dvvakqujk6/images/stencil/1280x1280/products/35824/6991574/1376955-005_UNDE_BKWH_S_EA7__28715.1784416117.png?c=2","curl: empty or too small"
1376955,"https://cdn11.bigcommerce.com/s-dvvakqujk6/images/stencil/1280x1280/products/35824/6991569/1376955-005_UNDE_BKWH_S_EA2__77201.1784416113.png?c=2","curl: empty or too small"
1361596,"https://cdn11.bigcommerce.com/s-dvvakqujk6/products/35740/images/6995058/1361596-001_UNDE_BKWH_BlackWhite_S_EA1__61520.1784834805.386.513.jpg?c=2","curl: empty or too small"
1361586,"https://cdn11.bigcommerce.com/s-dvvakqujk6/images/stencil/500x659/products/35738/6967991/1361586-001_UNDE_BKWH_Black_S_EA1__04531.1781569942.jpg?c=2","curl: empty or too small"
1351243,"https://cdn11.bigcommerce.com/s-dvvakqujk6/images/stencil/1280x1280/products/47557/6998751/1351243-001_UNDE_BK_Black_XS_XS_EA5__03106.1785350114.jpg?c=2","curl: empty or too small"
1361034,"https://cdn11.bigcommerce.com/s-dvvakqujk6/images/stencil/500x659/products/35733/6951861/1361034-001_UNDE_BKGY_BlackGrey_XS_EA1__70885.1780267618.png?c=2","curl: empty or too small"
1328495,"https://cdn11.bigcommerce.com/s-dvvakqujk6/images/stencil/1280x1280/products/47363/6988150/1328495-001_UNDE_BKBK_BlackBlack_M_EA1__47247.1784052860.jpg?c=2","curl: empty or too small"
